date,hosp,vent,mort
2020-03-17,1,,
2020-03-18,1,,
2020-03-19,3,,
2020-03-20,6,,
2020-03-21,9,,
2020-03-22,10,,
2020-03-23,13,,
2020-03-24,16,,
2020-03-25,19,,
2020-03-26,20,,
2020-03-27,25,,
2020-03-28,26,,
2020-03-29,29,3,
2020-03-30,31,3,
2020-03-31,32,4,
2020-04-01,33,6,
2020-04-02,36,8,
2020-04-03,37,9,
2020-04-04,41,14,
2020-04-05,43,13,
2020-04-06,44,13,
2020-04-07,44,10,
2020-04-08,49,13,
2020-04-09,49,17,
2020-04-10,48,18,
2020-04-11,50,14,
2020-04-12,50,18,
2020-04-13,47,18,
2020-04-14,51,13,
2020-04-15,48,13,
2020-04-16,53,11,
2020-04-17,48,11,
2020-04-18,47,10,
2020-04-19,48,9,
2020-04-20,47,10,
2020-04-21,43,9,
2020-04-22,44,7,
2020-04-23,45,8,
2020-04-24,49,8,
2020-04-25,50,8,
2020-04-26,50,5,
2020-04-27,56,7,
2020-04-28,59,9,
2020-04-29,60,8,
2020-04-30,57,9,
2020-05-01,57,8,
2020-05-02,59,9,
2020-05-03,60,8,
2020-05-04,56,8,
2020-05-05,53,8,
2020-05-06,51,9,
2020-05-07,52,9,
2020-05-08,53,7,
2020-05-09,57,7,
2020-05-10,55,6,
2020-05-11,55,4,
2020-05-12,57,5,
2020-05-13,55,5,
2020-05-14,52,3,
2020-05-15,50,3,
2020-05-16,50,3,
2020-05-17,48,2,
2020-05-18,48,2,
2020-05-19,44,2,
2020-05-20,45,,
2020-05-21,44,"",""
2020-05-22,41,"",""
2020-05-23,39,"",""
2020-05-24,37,"",""
2020-05-25,37,"",""
2020-05-26,38,"",""
