date,hosp,vent,mort
3/17/20,1,0.0,0
3/18/20,0,0.0,0
3/19/20,1,0.0,0
3/20/20,2,0.0,0
3/21/20,4,0.0,0
3/22/20,4,0.0,0
3/23/20,6,1.0,0
3/24/20,5,2.0,1
3/25/20,7,4.0,1
3/26/20,17,7.0,1
3/27/20,19,7.0,1
3/28/20,18,5.0,2
3/29/20,21,5.0,2
3/30/20,23,6.0,3
3/31/20,25,7.0,3
2004-01-20,24,7.0,3
2004-02-20,25,10.0,4
2004-03-20,26,12.0,4
2004-04-20,30,15.0,4
2004-05-20,30,14.0,6
2004-06-20,36,14.0,6
2004-07-20,35,13.0,7
2004-08-20,30,12.0,9
2004-09-20,33,13.0,9
2004-10-20,36,13.0,11
2004-11-20,43,14.0,11
2004-12-20,41,14.0,11
4/13/20,42,16.0,12
4/14/20,41,18.0,13
4/15/20,43,17.0,14
4/16/20,37,13.0,21
4/17/20,39,10.0,22
4/18/20,38,10.0,23
4/19/20,37,10.0,25
4/20/20,35,10.0,25
4/21/20,36,10.0,32
4/22/20,33,8.0,35
4/23/20,32,8.0,42
4/24/21,31,7.0,50
4/25/20,34,7.0,52
