date,Hospitalized Census 5%,Hospitalized Census 25%,Hospitalized Census Median,Hospitalized Census 75%,Hospitalized Census %95,ICU Census 5%,ICU Census 25%,ICU Census Median,ICU Census 75%,ICU Census %95,Vent Census 5%,Vent Census 25%,Vent Census Median,Vent Census 75%,Vent Census %95,Hospitalized Admits 5%,Hospitalized Admits 25%,Hospitalized Admits Median,Hospitalized Admits 75%,Hospitalized Admits %95,ICU Admits 5%,ICU Admits 25%,ICU Admits Median,ICU Admits 75%,ICU Admits %95,Vent Admits 5%,Vent Admits 25%,Vent Admits Median,Vent Admits 75%,Vent Admits %95
2020-03-17,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-18,0.0,0.0,0.9027480166,1.754628885,2.8301547251,0.0,0.0,0.0,0.8646307447,1.7802467112,0.0,0.0,0.0,0.8632413817,1.0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1
2020-03-19,0.0,0.8278327935,1.5685447315,2.0,3.6991690176,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.8914625353,0,0,1,1,2,0,0,0,1,1,0,0,0,0,1
2020-03-20,0.0,1.0,2.0,2.936460366675,4.7155771332,0.0,0.0,0.8271892571,1.3887619854,2.657842969,0.0,0.0,0.7745313801,1.0,2.379597649,0,0,1,1,3,0,0,0,1,2,0,0,0,1,1
2020-03-21,0.7888425952,1.8792928616000002,2.8981189037,4.2266362584,6.170267316,0.0,0.5526815836,1.0,1.7502065393000001,2.9111169306,0.0,0.0,0.8953124256,1.6880959797,2.7711495695,0,0,1,2,3,0,0,0,1,2,0,0,0,1,1
2020-03-22,1.4143761833,2.7424737092,4.0148828071,5.3528452226,7.590418551500001,0.0,0.8133455889000001,1.4809982738,2.2311789406,3.6460726616,0.0,0.7158770950000001,1.3563395538,2.0,3.3760800572000003,0,0,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-03-23,2.2014918812,3.783904845,5.2814701566,6.8051184316,9.1499516497,0.0,1.0,1.8199738854,2.7269562115,4.3896202268,0.0,0.8912185881,1.658167031,2.525233474,3.9891453034,0,1,1,2,4,0,0,0,1,2,0,0,0,1,2
2020-03-24,3.0511725639,4.9779993010000005,6.67665084605,8.3598665953,11.0146836329,0.4537644682,1.4523842406,2.3726707113,3.4400509984,5.272348889,0.0,1.268962597,2.1364892147,3.1506622342,4.9763411634,0,1,2,3,4,0,0,1,1,2,0,0,0,1,2
2020-03-25,4.2530052707,6.5459757748000005,8.355659218949999,10.1088239366,12.83097098,0.7025026566,1.9821126682,2.997076304,4.0107109041,5.9125460968,0.5362769561,1.6953294041,2.6880842087,3.7457042723000002,5.6295882815,0,1,2,3,5,0,0,1,1,3,0,0,1,1,2
2020-03-26,5.6090248316,8.1260360339,9.9794363493,12.2986058543,15.456177557100002,1.025524403,2.5279554536999997,3.5494110083,4.6740699509,6.9172678719,0.892254588,2.1995834118,3.2374599987,4.4029560214,6.458972670644965,0,1,2,4,6,0,0,1,2,3,0,0,1,1,3
2020-03-27,6.9118669582,9.8079549285,12.0976700166,14.6374283149,18.0639355525,1.3686088471650002,3.0369088059,4.3156594731,5.6349451163,8.0712619619,1.2787311754,2.7697981736,3.967067726,5.2019034095,7.2848562088,1,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-03-28,8.9153271464,11.8866854075,14.2259551634,16.8779265842,20.2235294395,1.9587737776,3.6570826342,4.9762127469,6.5719555561,9.0449830605,1.8641923339000002,3.3422050466,4.591171465,6.1116073097,8.2667804867,1,2,3,5,7,0,0,1,2,4,0,0,1,2,3
2020-03-29,10.7802323971,13.9639123132,16.8293500121,19.4113203842,23.8482736133,2.6448244343000002,4.4613251874,5.9436001391,7.6412056514749995,10.1875339175,2.4299377826,3.9446885295,5.4369946339,6.9411152081,9.388117827149971,1,3,4,5,8,0,1,1,2,4,0,0,1,2,4
2020-03-30,12.7945077822,16.5823661801,19.6232259288,22.4123310918,26.655578556839934,3.2038585269,5.1037729206,6.6991432356,8.6857024191,11.7589181618,2.8844992884,4.72736759015,6.2678379973,7.9156727684,10.8159971332,1,3,4,6,8,0,1,1,2,4,0,1,1,2,4
2020-03-31,15.1206267062,19.3043181293,22.2314453053,25.2847484341,30.00001359446499,3.7500964925,5.9505239037,7.7192193322,9.8167734254,13.107837794329992,3.6241330792,5.584277988,7.0844817155,9.03054186365,11.933335001,1,3,5,6,8,0,1,2,3,5,0,1,1,2,4
2020-04-01,17.3753985612,21.8559300613,24.7986930982,27.9450896238,32.2772052071,4.2936678642,6.7270991844,8.6807912168,10.5168337902,14.4503786204,4.0935543811,6.3442577211,8.0068841916,9.8734670942,12.6583006093,2,3,5,6,9,0,1,2,3,4,0,1,1,2,4
2020-04-02,19.478421896505004,24.5371646554,27.4713845487,30.6859706914,35.2490605523,4.9827086148,7.4682746028,9.5858875481,11.848925431,15.645601180300002,4.7965229507,7.1036436318,8.8010086262,10.8478895482,14.0434411438,2,4,5,7,9,0,1,2,3,5,0,1,2,3,5
2020-04-03,21.6374908519,26.5935238044,29.8417330517,33.0141348091,38.0698048724,5.567399154,7.9428858637,10.3185728339,12.8487882316,16.925809763,5.4771131947,7.6828833899,9.5380890479,11.6196316165,15.1820421273,2,4,5,6,9,0,1,2,3,5,0,1,2,3,4
2020-04-04,23.9049326478,28.9012860697,31.6331798571,35.0756094607,39.9981261732,6.0559235296,8.6962173053,11.2293831998,13.5264588233,18.1326079278,6.1420942443,8.481997588,10.2353947366,12.3592015606,15.636006523884962,2,4,5,6,9,0,1,2,3,5,0,1,2,3,4
2020-04-05,25.9807681101,30.2435006727,33.6579191158,37.247458917624996,42.4558122191,6.4132204627,9.3271140899,11.7047844858,14.6542186247,18.7376010985,6.5651649479,9.0827020675,10.9947142935,13.1494341746,16.3488207397,2,4,5,7,9,0,1,2,3,5,0,1,2,3,4
2020-04-06,27.6955910031,31.8864439491,35.1213765124,38.6269102394,43.6506090509,7.0623128525,9.7864082557,12.145744734200001,15.0331744089,19.0907894016,7.4545827953,9.6054450395,11.618961259,13.7652133268,16.5758367902,2,3,5,6,9,0,1,2,3,5,0,1,2,3,4
2020-04-07,28.7014273286,33.1694808308,36.3914391104,39.8236673387,44.9234895829,7.0014607091,9.7963087504,12.4659782665,15.4526511886,19.6937365025,7.7400287078000005,9.9286684738,11.9105931698,13.864190679900002,16.9025979179,2,3,5,6,9,0,1,2,3,4,0,1,1,2,4
2020-04-08,30.1540926174,33.9783651004,37.2551595117,40.4960713614,46.1156098559,6.914713672,10.042834632,12.7279655932,15.7619545593,19.6082800684,7.584470695,10.2037453212,12.084123514,14.1725908436,17.0218383366,1,3,5,6,8,0,1,2,3,4,0,1,1,2,4
2020-04-09,30.638789082,34.9011443514,38.0972387148,41.2252552078,46.9732292895,6.7535296382,10.325554676225,13.0184253378,16.15891035965,20.2927430608,7.960794137,10.384530167575,12.4132630766,14.4703637833,17.368088133,1,3,5,6,9,0,1,2,3,4,0,1,1,3,4
2020-04-10,30.915287133600003,35.403347772000004,38.56384843545,41.8772542772,46.831338208700004,6.900182937,10.3641692658,13.1197695751,16.389443268,20.8959007466,8.1055419868,10.544375873,12.6615200966,14.6851565929,17.3223247325,1,3,4,6,8,0,1,2,3,4,0,1,1,2,4
2020-04-11,30.8931765767,35.6796559888,38.9328409038,42.1532278779,47.6630553615,7.0324610053,10.1487492319,12.9496939186,16.319756435,21.4896920307,8.2278163324,10.557153734,12.5731334956,14.7096546389,18.024684936194987,1,3,4,6,8,0,1,1,3,4,0,1,1,2,4
2020-04-12,31.12487228,35.479245114,38.949038813499996,42.1552078098,46.8646756586,6.8408846438,9.903213550650001,12.7097955534,16.3558338657,21.2442075866,8.1434430132,10.5534519265,12.4191474022,14.581274992,17.7326614864,1,2,4,5,8,0,1,1,2,4,0,0,1,2,3
2020-04-13,31.0281742492,35.4258122795,38.8294296133,41.978280620275,46.3988568039,6.4579825291,9.9045066918,12.6498045309,16.1606420867,21.1508230963,7.9235971093,10.4801532698,12.3804594264,14.4681678002,17.2467525584,1,2,4,5,7,0,1,1,2,4,0,0,1,2,4
2020-04-14,31.1271015386,35.5090422848,38.4998582688,41.7281382935,46.8567752026,6.29763761,9.9597045349,12.6305692308,16.0506394427,21.0807292446749,7.7768673807,10.445121087,12.228848135,14.342140688,17.2851537884,1,2,4,5,8,0,1,1,2,4,0,0,1,2,4
2020-04-15,30.6621017367,35.186039975625,38.1333560506,41.1636334628,45.9136821059,6.338088739,9.6250857347,12.4350921747,15.750645735199999,20.6091560804,7.9103448516,10.3175184668,12.1117161026,14.1334006933,17.285039405,1,2,3,5,7,0,1,1,2,4,0,0,1,2,3
2020-04-16,29.989491202000004,34.5248880932,37.4453846785,40.533314737,45.2830291864,6.2388372724,9.2714654677,12.0475804381,15.514943491,20.6130133193,7.577223418499999,10.1357964842,11.8396718139,13.796919853224999,16.7338482887,1,2,3,4,7,0,0,1,2,3,0,0,1,2,3
2020-04-17,29.943409717200005,33.9243725175,36.8022067537,39.9128155048,44.505684467,5.7421641898,8.9055273979,12.0063124791,15.269963420749999,20.3176814618,7.2679049074,9.9094792647,11.6298122327,13.5592094567,16.4396682248,1,2,3,5,7,0,0,1,2,3,0,0,1,2,3
2020-04-18,29.3543783441,33.1866343793,36.202264961400004,39.1811759442,43.6776483102,5.6592761984,8.6226011949,11.5215648659,14.9380225892,20.0319758279,7.2678934156,9.7335565019,11.4337344968,13.1378410905,15.841828266500002,1,2,3,4,7,0,0,1,2,3,0,0,1,2,3
2020-04-19,28.7248400539,32.6426131881,35.4674856715,38.490652007775,43.2263084822,5.336203875,8.4677883612,11.2076995829,14.7991118011,19.4513154171,6.9472336436,9.3760041737,11.1453317545,12.7953231903,15.515353049,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-04-20,28.1805594289,31.741851757,34.93214852,37.840085405,42.35693697634497,5.1467189824,8.1878419525,11.1006456693,14.6498266046,19.3057071254,6.9787953148,9.2027509338,10.993420848,12.5914382313,15.276101707029994,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-04-21,27.5383899582,31.4513367375,34.4080033683,37.3773958208,41.980605665639956,5.1893250984,8.0582610496,11.0086400774,14.2328129263,18.799136949,6.6870269356000005,9.0783513855,10.7107195603,12.4247870892,15.064702535,0,2,3,4,6,0,0,1,2,3,0,0,1,2,3
2020-04-22,26.790567442875002,30.6298585158,33.4983502811,36.6151593675,41.074454938,4.841637193385003,7.8673761736,10.6543325627,13.7542382472,18.3744241342,6.6079673146,8.8297620372,10.3131103705,12.1678364785,14.7551684689,0,2,3,4,6,0,0,1,2,3,0,0,1,1,3
2020-04-23,26.1695827145,29.7684090186,32.833138601,35.8231608125,40.1562970918,4.7238759256,7.4852228505,10.3129976112,13.5787567974,18.089544896,6.3985821285,8.6257175944,10.144579139,11.8487661929,14.609731640700002,0,1,2,4,6,0,0,1,2,3,0,0,1,1,3
2020-04-24,25.5685498114,29.093858242,31.9751215768,35.0079250748,39.6860357195,4.6650455879,7.3429884976,10.0614483374,13.2133624344,17.5126547865,6.1734406577,8.5024718735,9.9543305913,11.6300623398,14.148839678349976,0,1,3,4,5,0,0,1,2,3,0,0,1,1,3
